name,full_location_name,country,country_clean,state_province,region_detail,latitude,longitude,timezone,skill_level_min,skill_level_max,primary_airport_iata,region_major,slug,active,nearest_city,nearest_city_distance_km,hotellook_city_id,hotellook_city_name,hotellook_city_distance_km
Porth Beach,"Porth Beach, Cornwall West","UK, Cornwall West",UK,,Cornwall West,50.42534868,-5.062551498,Europe/London,beginner,intermediate,NQY,Europe,porth-beach-cornwall-west-uk,TRUE,Cornwall,0,7309,Cornwall,24.0
porth ceiriad,"porth ceiriad, North Wales and NW England","UK, North Wales and NW England",UK,,North Wales and NW England,52.79365379,-4.50053215,Europe/London,beginner,intermediate,VLY,Europe,porth-ceiriad-north-wales-and-nw-england-uk,TRUE,Isle of Anglesey,0,,,
Porthcurno and Logan Rock,"Porthcurno and Logan Rock, Cornwall South","UK, Cornwall South",UK,,Cornwall South,50.04280926,-5.650062561,Europe/London,beginner,intermediate,LEQ,Europe,porthcurno-and-logan-rock-cornwall-south-uk,TRUE,Cornwall,0,7309,Cornwall,24.0
Porthleven,"Porthleven, Cornwall South","UK, Cornwall South",UK,,Cornwall South,50.08200549,-5.321234465,Europe/London,beginner,intermediate,PZE,Europe,porthleven-cornwall-south-uk,TRUE,Cornwall,0,7309,Cornwall,24.0
Porthmeor,"Porthmeor, Cornwall West","UK, Cornwall West",UK,,Cornwall West,50.21586802,-5.482692719,Europe/London,beginner,intermediate,PZE,Europe,porthmeor-cornwall-west-uk,TRUE,Cornwall,0,7309,Cornwall,24.0
Porthtowan,"Porthtowan, Cornwall West","UK, Cornwall West",UK,,Cornwall West,50.28496571,-5.24689436,Europe/London,beginner,intermediate,NQY,Europe,porthtowan-cornwall-west-uk,TRUE,Cornwall,0,7309,Cornwall,24.0
Porticciolo,"Porticciolo, Sicily Sardinia","Italy, Sicily Sardinia",Italy,,Sicily Sardinia,39.4046319,8.400249481,UTC,beginner,intermediate,DCI,Europe,porticciolo-sicily-sardinia-italy,TRUE,,,,,
Portixeddu,"Portixeddu, Sicily Sardinia","Italy, Sicily Sardinia",Italy,,Sicily Sardinia,39.44089942,8.409132957,UTC,intermediate,advanced,DCI,Europe,portixeddu-sicily-sardinia-italy,TRUE,,,,,
Portman,"Portman, Mediterranean","Spain, Mediterranean",Spain,,Mediterranean,37.57788201,-0.846118927,Europe/Madrid,beginner,intermediate,RMU,Europe,portman-mediterranean-spain,TRUE,,,,,
porto alegre,porto alegre,Sao Tome,Sao Tome,,,0.03588402,6.536414623,UTC,beginner,intermediate,TMS,Other,porto-alegre-sao-tome,TRUE,,,,,
Porto Armando,"Porto Armando, Sicily Sardinia","Italy, Sicily Sardinia",Italy,,Sicily Sardinia,39.20505613,9.312522411,UTC,intermediate,advanced,CAG,Europe,porto-armando-sicily-sardinia-italy,TRUE,,,,,
Porto Batel,"Porto Batel, Central Peniche","Portugal, Central Peniche",Portugal,,Central Peniche,39.3225626,-9.359128475,Europe/Lisbon,intermediate,advanced,LIS,Europe,porto-batel-central-peniche-portugal,TRUE,,,,,
Porto Covo,"Porto Covo, South","Portugal, South",Portugal,,South,37.85499975,-8.794384003,Europe/Lisbon,beginner,intermediate,BYJ,Europe,porto-covo-south-portugal,TRUE,Sines,0,4926,Sines,13.1
Porto da cruz,Porto da cruz,Madeira,Madeira,,,32.76868321,-16.82095885,UTC,beginner,intermediate,FNC,Other,porto-da-cruz-madeira,TRUE,,,,,
Porto di Santa Marinella,"Porto di Santa Marinella, Mainland","Italy, Mainland",Italy,,Mainland,42.03650647,11.875467,UTC,beginner,intermediate,FCO,Europe,porto-di-santa-marinella-mainland-italy,TRUE,,,,,
Porto Ferro,"Porto Ferro, Sicily Sardinia","Italy, Sicily Sardinia",Italy,,Sicily Sardinia,40.68480366,8.203010559,UTC,beginner,intermediate,AHO,Europe,porto-ferro-sicily-sardinia-italy,TRUE,,,,,
Porto Giunco,"Porto Giunco, Sicily Sardinia","Italy, Sicily Sardinia",Italy,,Sicily Sardinia,39.1224031,9.525661469,UTC,beginner,intermediate,CAG,Europe,porto-giunco-sicily-sardinia-italy,TRUE,,,,,
Porto Martins,"Porto Martins, Central group","Azores, Central group",Azores,,Central group,38.67693344,-27.06207275,UTC,intermediate,advanced,TER,Other,porto-martins-central-group-azores,TRUE,Praia da Vitória,0,1420652,Paia da Vitoria,8.3
Porto Paglia,"Porto Paglia, Sicily Sardinia","Italy, Sicily Sardinia",Italy,,Sicily Sardinia,39.26887831,8.424878195,UTC,beginner,intermediate,DCI,Europe,porto-paglia-sicily-sardinia-italy,TRUE,Gonnesa,0,,,
