name,country,country_clean,state_province,region_detail,latitude,longitude,timezone,skill_level_min,skill_level_max,primary_airport_iata,region_major,slug,active
Chigualoco,"Chile, Coquimbo",Chile,,Coquimbo,-31.75351719,-71.51525214,UTC,intermediate,advanced,KNA,South America,chigualoco,TRUE
Childers Cove,"Australia, VIC, Western Victoria",Australia,VIC,Western Victoria,-38.4992133,142.6798725,Australia/Sydney,beginner,intermediate,WMB,Oceania,childers-cove,TRUE
China Beach,"Canada, West Coast",Canada,,West Coast,48.43343765,-124.0935802,UTC,beginner,intermediate,DUQ,North America,china-beach,TRUE
China walls,"USA, Hawaii, Oahu",USA,Hawaii,Oahu,21.26383061,-157.711755,America/Los_Angeles,intermediate,advanced,NGF,North America,china-walls,TRUE
Chinaman,"Australia, WA, Kalbarri",Australia,WA,Kalbarri,-27.70870197,114.1620469,Australia/Sydney,intermediate,advanced,KAX,Oceania,chinaman,TRUE
Chinamans,"Australia, SA, York Peninsula",Australia,SA,York Peninsula,-35.28538921,136.8545008,Australia/Sydney,intermediate,advanced,PDN,Oceania,chinamans,TRUE
Chinbotsu,"Japan, Kyushu, Tanegashima-Island",Japan,Kyushu,Tanegashima-Island,30.73621649,131.074343,UTC,intermediate,advanced,TNE,Asia,chinbotsu,TRUE
Chingshuei,Taiwan,Taiwan,,,24.68463231,121.8379068,UTC,intermediate,advanced,TSA,Other,chingshuei,TRUE
Chips,"Australia, NSW, South Coast",Australia,NSW,South Coast,-34.77715181,150.8192825,Australia/Sydney,beginner,intermediate,WOL,Oceania,chips,TRUE
Chirere,Venezuela,Venezuela,,,10.62220553,-66.19524479,UTC,intermediate,advanced,HGE,Other,chirere,TRUE
Chiton Rocks,"Australia, SA, York Peninsula",Australia,SA,York Peninsula,-35.53668765,138.6605287,Australia/Sydney,beginner,intermediate,ADL,Oceania,chiton-rocks,TRUE
Chocks,"USA, Hawaii, Hawaii Island",USA,Hawaii,Hawaii Island,19.73600169,-155.0434881,America/Los_Angeles,intermediate,advanced,ITO,North America,chocks,TRUE
Chodes,"USA, North East, New Jersey",USA,North East,New Jersey,39.1822564,-74.67020988,America/Los_Angeles,beginner,intermediate,WWD,North America,chodes,TRUE
Chokusen,"Japan, Kyushu",Japan,,Kyushu,31.63656882,131.4591408,UTC,intermediate,advanced,KMI,Asia,chokusen,TRUE
Chop Chop,Bonaire,Bonaire,,,12.07738592,-68.23140621,UTC,intermediate,advanced,BON,Other,chop-chop,TRUE
Chorefto,"Greece, Aegean Sea",Greece,,Aegean Sea,39.45435404,23.12218666,UTC,intermediate,advanced,VOL,Other,chorefto,TRUE
Choroni (Malecon),Venezuela,Venezuela,,,10.51046104,-67.60593116,UTC,intermediate,advanced,MYC,Other,choroni-(malecon),TRUE
Chulluipe,Ecuador,Ecuador,,,-2.208573846,-80.88632047,UTC,intermediate,advanced,SNC,Other,chulluipe,TRUE
Chunan,Taiwan,Taiwan,,,24.695417,120.853002,UTC,intermediate,advanced,HSZ,Other,chunan,TRUE
Chuns Reef,"USA, Hawaii, Oahu",USA,Hawaii,Oahu,21.62419948,-158.0815136,America/Los_Angeles,intermediate,advanced,HDH,North America,chuns-reef,TRUE
Church (Trestles),"USA, California, Orange County",USA,California,Orange County,33.38013937,-117.5798893,America/Los_Angeles,intermediate,advanced,OCN,North America,church-(trestles),TRUE
Church Point,Barbados,Barbados,,,13.19135676,-59.64047849,UTC,beginner,intermediate,BGI,Other,church-point,TRUE
Churches,"USA, Hawaii, Maui",USA,Hawaii,Maui,20.90810997,-156.4824665,America/Los_Angeles,intermediate,advanced,OGG,North America,churches,TRUE
